 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Už se těším na pondělí 😍😍😍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Andrej nejlepší;Supportive speech;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Fraška;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dá se věřit?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pan prezident je NEVYNEJ 🤡 Když už, ADVOKÁT to posral 🤡;Trolling;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Petr Jendřejas JAKEJ PREZYDENT? BABIS NAS VSECKY SKLAMAL, VOLTE JARDU BASTU! 🇨🇿🇨🇿✌️;Supportive speech;Candidate - Bašta;Not targeting;FALSE;FALSE
ČT;Petr Jendřejas proč ty hrubky v pravopisu ? Jsme národ nevzdělanců;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Zdena Misakova PROTOSE ZDENYCKO;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Podmínky jsou opravdu výsměch 😢;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Trapné a podlé. Zaplacené a u lidí prohrané.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ilona Taxová Chiffon co to meleš Ilono? 🤔;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Ilona Taxová Chiffon hezky jste vystihla Babišovu kampaň na prezidenta. 👍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;https://threadreaderapp.com/thread/1611268430316847105.html  Já se bavil celý dopoledne 😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tomáš Pospíšil Vidím, že jsem přispěla s odkazem pozdě. Pan Bartkovský je můj hrdina.;Supportive speech;Journalists or media professionals;Not targeting;FALSE;FALSE
ČT;Ilona Taxová Chiffon co to meleš Ilono? 🤔;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;I  průměrně vymytý biorobot NWO musí vidět těsné spojený rozsudku před volbami. Tento soudce je zkorumpovaný, protože měl dávno rozhodnout..Zeman mu udělí milost, aby zabránil frašce, která se vleče přes 15 let,kdy 90% podnikatelů optimalizuje danně,výnos tímto způsobem.Bureš na hrad nepatří,ale NWO mafie ovládla ČR.;Hateful speech;Organizations;Candidate - Babiš;TRUE;FALSE
ČT;Frantisek TV-Frankie Myslíte těsné spojení rozsudku soudu, před kterým Babiš několik let utíkal a bylo možné ten soud uskutečnit až v moment, kdy přišel o imunitu? 😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;CHUDAK PAN BABIS. DYCKY SME HO VOLILI ALE TED NEMAME JINOU MOZNOST NEZ VOLIT PANA BASTU. CT LZE. EU NAS CHCE ZNICIT. VOLTE SVOBODU, VOLTE C 2, VOLTE JARDU BASTU 🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿✌️;Supportive speech;Candidate - Bašta;Candidate - Babiš;FALSE;FALSE
ČT;Ondřej Dobrkovský JASAN! VOLTE JARDU BASTU! BABISE DO KOSE! SKLAMAL NAS! 🇨🇿🇨🇿✌️;Supportive speech;Candidate - Bašta;Not targeting;FALSE;FALSE
ČT;Ondřej Dobrkovský Vždyť Bašta taky seděl 2 roky, to najednou nevadí? Zajímavé;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ondřej Dobrkovský Dobrou Dobrku, Ty rosteš jako dříví v lese😄;Trolling;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Aleš Piškot Pánek JE TO DISIDENT A ZNA PRAVDU. JEDINE ON NAS VYTAHNE ZE SPARU TE ZLE EU. BABIS JEN SLIBOVAL A PODIVEJTE JAK TO DOPADLO?????;Supportive speech;Candidate - Bašta;Not targeting;FALSE;FALSE
ČT;Jindrich Horak JINDRO TY ZNAS TAKY PRAVDU. HODNE CHYTRYCH LIDI VOLI PANA BASTU ALE BOJI SE TO RIKAT. PAN BABIS TOHO UDELAL DOST ALE POTREBUJEM ZMENU 🇨🇿🇨🇿🇨🇿🇨🇿;Supportive speech;Candidate - Babiš;Not targeting;FALSE;FALSE
ČT;Ondřej Dobrkovský Vím, že chceš všechno pro Česko na 1.místě🙂respekt🥰;Supportive speech;Fellow commenters;Not targeting;FALSE;FALSE
ČT;Jindrich Horak JEDNOU BASTA, DYCKY BASTA. JARDA JE NAS ❤️;Supportive speech;Candidate - Bašta;Not targeting;FALSE;FALSE
ČT;Ondřej Dobrkovský Možná jen jako politický tah,jinak to je stejný bezpateřák jako všichni ostatni;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To zas bude komedie;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vojtěch Matěj už žádná komedie už jen rozsudek;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
