"V1","comment_text","Rhetoric","Main targeted group","Secondary targeted group","Pejorative framing of communism","Vulgar language","word_count"
"SZ","Podporovatelé Zemana čekají, kdo přijde s největším balíkem a potom se rozhodnou, koho podpoří 🤷🏻‍♂️","Trolling","Other","Not targeting",FALSE,FALSE,15
"SZ","František Koranda spíš je mrzí, že přestal podporovat nacisty z Ruska","Trolling","Other","Marginalized groups",FALSE,FALSE,11
"SZ","Tom Březina pokud nevíš, neznáš či jen nemáš doma dostupnou literaturu, použij služeb Google. A něco si přečti o tomhle fenoménu . Ať nejsi mezi znalci tohoto problému za obyčejného idiota. 🤭🤭🤭","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,32
"SZ","Bohuslav Válek no spíš bych to poradil tobě, abys pak nebyl překvapený, že ti děti chodí venčit psa na hrob, za to, žes podporoval nacisty a byl tak idiot, jen ne obyčejný, ale užitečný...","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,34
"SZ","Tom Březina moc se mýlíš blbečku. Jen si hloupý jak tvůj  falešný profil. Vůbec ani netušíš o čem píšeš. Na seznamu nepsali, viď ? 😄😄😄","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,25
"SZ","Bohuslav Válek Njn bez argumentů, jako každá proruská lůza...","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,9
"SZ","Tom Březina zase jsi jen potvrdil že jsi jen naprosto hloupý a neznalý idiot, který ani nechápe co čte.   Na rozdíl od tebe mám soužití s Rusem za zády za sebou.  Tak za 1. Nikde ani písmenkem jsem žádného rusa nepodpořil. Za 2. Jen jsem ti napsal že nevíš co píšeš, neboť za mák ničemu nerozumíš. Sám si jen obyčejná neznalá  lůza. Studuj.  Pak dej vědět, až budeš něco o tomto problému něco znát.","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,74
"SZ","Bohuslav Válek Snad se necítíš provinile.Na tebe je studovány každý dost...","Hateful speech","Fellow commenters","Not targeting",FALSE,FALSE,11
"SZ","Tom Březina ale jdi ty hlupáčku. Naopak, já hloupej nejsem. Dej vědět až budeš vůbec alespoñ tušit že něco znáš. Zatím jsi stàle za idiota ty. A co Ježíšek? O tom by jsi mohl něco vědět. 🤭","Hateful speech","Fellow commenters","Not targeting",FALSE,TRUE,37
"SZ","Takže volí Baštu. To nemusí tajit.","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,6
"SZ","František Koranda spíš je mrzí, že přestal podporovat nacisty z Ruska","Hateful speech","Fellow commenters","Marginalized groups",FALSE,FALSE,11
"SZ","Tvl ten Ringo Čech je vytrollil a jim to nedošlo. 😂","Hateful speech","Journalists or media professionals","Not targeting",FALSE,FALSE,11
"SZ","Josef Atwa Dolecek Ringo je co se týče politických preferencí vcelku blouznivec. Vytrolil...? 😉","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,14
"SZ","Vtipy to že je blouznivec nerozporuju, ale pisateli clanku zrejme nedosla pointa","Hateful speech","Journalists or media professionals","Not targeting",FALSE,FALSE,12
"SZ","Jakože pisatel nepochopil, že mu Čech nahlásil fiktivní postavu? Spíš pochopil, jen tu třeskutou legraci dál nekomentoval.","Constructive engagement","Journalists or media professionals","Not targeting",FALSE,FALSE,17
"SZ","Josef Atwa Dolecek To nedošla ani mě. A to jsem Záhadu hlavolamu viděl alespoň zfilmovanou... 🙄","Supportive speech","Journalists or media professionals","Not targeting",FALSE,FALSE,16
"SZ","Vtipy Losnu = vylosuje imho 🤷‍♂️","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,6
"SZ","Tak proč by baba teď někoho podporovala - vyznamenání už dostala, tak je spokojená.","Hateful speech","Other","Not targeting",FALSE,FALSE,14
"SZ","A koho podpoří Jiřinka Bohdalová?","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","Tomas Brablc vítěze","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Tomas Brablc  STB","Hateful speech","Other","Not targeting",TRUE,FALSE,3
"SZ","Tomas Brablc Zemana...","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Tomas Brablc ""Jiřinka""? To snad ne? Vžduť jako agentka StB byla nasazena na Jana Weiricha. 👎","Hateful speech","Other","Not targeting",TRUE,FALSE,16
"SZ","Konečně dostali rozum? I maše kulturní fronta je extrémně rozdělená. Když to věděli kdo koho bude volit, tak si nadávali a přestali se někteří kamarádit... takoví jsou demokratičtí pravdoláskaři..  Jedině tetuše Danuše je sjednotí.  Ta pořád mele nesplnitelnou mantru, že celý národ sjednotí. KOZA.","Hateful speech","Other","Candidate - Nerudová",FALSE,TRUE,44
"SZ","To je strasna fotka 😂","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","Daniel E. Hebraud Juran JE..","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,5
"SZ","Daniel E. Hebraud Juran já kráva stará to taky rozklikla - a vůbec nevím proč, obvykle ty seznamácké hovadiny nechávám ladem - a už se zase dloooouho nespletu 😃","Hateful speech","Other","Not targeting",FALSE,TRUE,29
"SZ","Podporují Babiše a nevyjadřují se, bo se stydí.","Trolling","Other","Not targeting",FALSE,FALSE,8
"SZ","Prokop Diviš kdo podporuje Babiše,  neumí se stydět.","Trolling","Other","Not targeting",FALSE,FALSE,8
"SZ","Vele Buddha přesně - takoví netuší, co je stud","Trolling","Other","Not targeting",FALSE,FALSE,9
"SZ","Bodejť. Čekají jak to dopadne aby se mohli zasunout do nové prezidentské řitě a tvrdit že jí od začátku podporovali. Bohdalová je v tom přeborník.","Trolling","Other","Not targeting",FALSE,FALSE,25
"SZ","Bohdalova byla myslim v predvolebnim videu Pavla. Takze ta svou podporu vyjadrila. 🙂","Supportive speech","Other","Not targeting",FALSE,FALSE,13
"SZ","Kazuki Satou Bohdalka vždycky ví, kudy běží zajíc.","Hateful speech","Other","Not targeting",FALSE,FALSE,8
"SZ","Kazuki Satou Domnívám se, že jsem předvolební klipy pana Pavla viděla všechny, ale paní Bohdalovou jsem tam tedy nikde neviděla. Mohu se samozřejmě mýlit.","Constructive engagement","Other","Candidate - Pavel",FALSE,FALSE,24
"SZ","Kazuki Satou Vložkou videa byla reklama na Mauntfíld!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,8
"SZ","škoda, jejich cesta od Havla k Baštovi by ukazovala jejich mentální úpadek docela dobře ....","Trolling","Other","Candidate - Bašta",FALSE,FALSE,15
"SZ","Já bych jen dodala,že Eva Holubová a Jan Kraus se angažovali již při první volbě MZ prezidentem-teď to negují!!!!Jiřina Bohdalová a Lucie Bílá s láskou objímaly snad všechny prezidenty???","Trolling","Other","Not targeting",FALSE,FALSE,29
"SZ","Božena Skalická Holubová snad Zemana nepodporovala, nebo mi něco uniklo...?","Supportive speech","Other","Not targeting",FALSE,FALSE,10
"SZ","Vtipy Určitě uniklo!!!!!","Irrelevant","Not targeting","Not targeting",FALSE,FALSE,3
"SZ","Božena Skalická Holubová, Zemana? Opravdu? Nepletete si to jenom s tím jejím slavným nápisem na tabuli...? 😉","Supportive speech","Other","Not targeting",FALSE,FALSE,17
"SZ","Vtipy no samozřejmě že nepodporovala - naopak s dalšími ""vyvolenými"" tukany - uměleckou frontou se semkli v šou dva tři jé krause a vyjádřili stanovisko - vévodil tomu tukan ledecký - všichni proti tukanovi zemanovi 😃","Trolling","Other","Not targeting",FALSE,FALSE,36
"SZ","Eva Horáková Já si to velmi živě pamatuji-pak otočili!!!!!!","Trolling","Other","Not targeting",FALSE,FALSE,9
